"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FEXP_PC","Cinema expenditure per capita (in local currency)","AUT","Austria","2013","2013",16.3,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","AUT","Austria","2014","2014",15.5,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","AUT","Austria","2015","2015",17.5,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","AUT","Austria","2016","2016",17,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","AUT","Austria","2017","2017",16.7,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","BEL","Belgium","2013","2013",14.9,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","BEL","Belgium","2014","2014",14.6,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","BEL","Belgium","2015","2015",15.7,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","BEL","Belgium","2016","2016",14.7,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","BEL","Belgium","2017","2017",15.9,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","DNK","Denmark","2013","2013",161.5,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","DNK","Denmark","2014","2014",155.6,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","DNK","Denmark","2015","2015",182.5,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","DNK","Denmark","2016","2016",172.9,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","DNK","Denmark","2017","2017",164.5,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","FIN","Finland","2013","2013",15.3,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","FIN","Finland","2014","2014",14.7,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","FIN","Finland","2015","2015",18.3,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","FIN","Finland","2016","2016",20.2,"‡","UIS Estimation"
"FEXP_PC","Cinema expenditure per capita (in local currency)","FIN","Finland","2017","2017",20,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","FRA","France","2013","2013",21.9,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","FRA","France","2014","2014",23.1,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","FRA","France","2015","2015",23.1,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","FRA","France","2016","2016",24,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","FRA","France","2017","2017",23.8,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","DEU","Germany","2013","2013",14.2,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","ITA","Italy","2013","2013",11.6,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","ITA","Italy","2014","2014",10.8,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","ITA","Italy","2015","2015",12,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","ITA","Italy","2016","2016",12.5,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","ITA","Italy","2017","2017",11.1,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","NLD","Netherlands","2013","2013",16.4,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","NLD","Netherlands","2014","2014",16.4,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","NLD","Netherlands","2015","2015",18,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","NLD","Netherlands","2016","2016",18.8,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","NLD","Netherlands","2017","2017",19.7,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","PRT","Portugal","2013","2013",6.9,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","PRT","Portugal","2014","2014",6.7,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","PRT","Portugal","2015","2015",8,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","PRT","Portugal","2016","2016",8.3,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","PRT","Portugal","2017","2017",8.8,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","ESP","Spain","2013","2013",12.2,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","ESP","Spain","2014","2014",12.5,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","ESP","Spain","2015","2015",13.9,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","ESP","Spain","2016","2016",14.5,"‡","UIS Estimation"
"FEXP_PC","Cinema expenditure per capita (in local currency)","ESP","Spain","2017","2017",14.3,"‡","UIS Estimation"
"FEXP_PC","Cinema expenditure per capita (in local currency)","SWE","Sweden","2013","2013",192.4,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","SWE","Sweden","2014","2014",191.1,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","SWE","Sweden","2015","2015",208.3,,
"FEXP_PC","Cinema expenditure per capita (in local currency)","SWE","Sweden","2016","2016",219.8,,
