"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUS","Australia","2011","2011",67.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUS","Australia","2012","2012",69,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUS","Australia","2013","2013",61.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUS","Australia","2014","2014",74.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUS","Australia","2015","2015",72.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUS","Australia","2016","2016",61.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUS","Australia","2017","2017",63.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUT","Austria","2011","2011",64.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUT","Austria","2012","2012",42.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUT","Austria","2013","2013",50,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUT","Austria","2014","2014",44.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUT","Austria","2015","2015",55,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUT","Austria","2016","2016",47.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AUT","Austria","2017","2017",54.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BEL","Belgium","2011","2011",90.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BEL","Belgium","2012","2012",85.5,"‡","UIS Estimation"
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BEL","Belgium","2013","2013",91.4,"‡","UIS Estimation"
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BEL","Belgium","2015","2015",88.4,"‡","UIS Estimation"
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BEL","Belgium","2016","2016",74.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BEL","Belgium","2017","2017",82.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CAN","Canada","2012","2012",74.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CAN","Canada","2013","2013",82.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CAN","Canada","2014","2014",74.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CAN","Canada","2015","2015",74.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CAN","Canada","2016","2016",76.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CAN","Canada","2017","2017",76.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CZE","Czechia","2011","2011",51.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CZE","Czechia","2012","2012",67.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CZE","Czechia","2013","2013",64.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CZE","Czechia","2014","2014",57.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CZE","Czechia","2015","2015",60.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CZE","Czechia","2016","2016",57,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CZE","Czechia","2017","2017",50,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DNK","Denmark","2011","2011",58.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DNK","Denmark","2012","2012",45.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DNK","Denmark","2013","2013",44.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DNK","Denmark","2014","2014",50.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DNK","Denmark","2015","2015",43.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DNK","Denmark","2016","2016",50,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DNK","Denmark","2017","2017",55.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FIN","Finland","2011","2011",61.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FIN","Finland","2012","2012",67.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FIN","Finland","2013","2013",57.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FIN","Finland","2014","2014",52.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FIN","Finland","2015","2015",46.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FIN","Finland","2016","2016",63.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FIN","Finland","2017","2017",53.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FRA","France","2011","2011",83.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FRA","France","2012","2012",80.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FRA","France","2013","2013",83.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FRA","France","2014","2014",82.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FRA","France","2015","2015",83.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FRA","France","2016","2016",80.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","FRA","France","2017","2017",84,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DEU","Germany","2011","2011",60.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DEU","Germany","2012","2012",65.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DEU","Germany","2013","2013",64.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DEU","Germany","2014","2014",60.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DEU","Germany","2015","2015",63.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DEU","Germany","2016","2016",64.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","DEU","Germany","2017","2017",57.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GRC","Greece","2012","2012",56.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GRC","Greece","2013","2013",24.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GRC","Greece","2014","2014",55.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GRC","Greece","2015","2015",64.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GRC","Greece","2016","2016",42.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GRC","Greece","2017","2017",43.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ISL","Iceland","2011","2011",69.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ISL","Iceland","2012","2012",100,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ISL","Iceland","2013","2013",100,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","IRL","Ireland","2011","2011",62.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","IRL","Ireland","2012","2012",55.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","IRL","Ireland","2013","2013",55.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","IRL","Ireland","2014","2014",75.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","IRL","Ireland","2015","2015",51.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ITA","Italy","2012","2012",85.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ITA","Italy","2013","2013",79.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ITA","Italy","2014","2014",83.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ITA","Italy","2015","2015",81.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ITA","Italy","2016","2016",79.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ITA","Italy","2017","2017",79.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","LUX","Luxembourg","2011","2011",81.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","MEX","Mexico","2011","2011",69.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","MEX","Mexico","2012","2012",67.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","MEX","Mexico","2013","2013",75.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","MEX","Mexico","2014","2014",62.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","MEX","Mexico","2015","2015",62.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","MEX","Mexico","2016","2016",58,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","MEX","Mexico","2017","2017",61.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NLD","Netherlands","2011","2011",75.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NLD","Netherlands","2012","2012",72.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NLD","Netherlands","2013","2013",75,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NLD","Netherlands","2014","2014",74.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NLD","Netherlands","2015","2015",70.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NLD","Netherlands","2016","2016",56.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NLD","Netherlands","2017","2017",56.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NZL","New Zealand","2011","2011",76,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NZL","New Zealand","2012","2012",45.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NZL","New Zealand","2013","2013",48,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NZL","New Zealand","2014","2014",60.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NZL","New Zealand","2015","2015",57.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NZL","New Zealand","2016","2016",50,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NZL","New Zealand","2017","2017",25,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NOR","Norway","2011","2011",88.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NOR","Norway","2012","2012",65.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NOR","Norway","2013","2013",86.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NOR","Norway","2014","2014",85.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NOR","Norway","2015","2015",69.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NOR","Norway","2016","2016",53.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","NOR","Norway","2017","2017",57.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","POL","Poland","2011","2011",62.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","POL","Poland","2012","2012",89.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","POL","Poland","2013","2013",80.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","POL","Poland","2014","2014",56.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","POL","Poland","2015","2015",88.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","POL","Poland","2016","2016",86,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","POL","Poland","2017","2017",76.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","PRT","Portugal","2011","2011",63.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","PRT","Portugal","2012","2012",53.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","PRT","Portugal","2013","2013",61.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","PRT","Portugal","2014","2014",50,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","PRT","Portugal","2015","2015",54.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","PRT","Portugal","2016","2016",64.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","PRT","Portugal","2017","2017",52.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SVK","Slovakia","2011","2011",58.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SVK","Slovakia","2012","2012",61.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SVK","Slovakia","2013","2013",68.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SVK","Slovakia","2014","2014",44.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SVK","Slovakia","2015","2015",46.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SVK","Slovakia","2016","2016",56.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SVK","Slovakia","2017","2017",77.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ESP","Spain","2011","2011",61.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ESP","Spain","2012","2012",59.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ESP","Spain","2013","2013",59.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ESP","Spain","2014","2014",50.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ESP","Spain","2015","2015",53.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ESP","Spain","2016","2016",51.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ESP","Spain","2017","2017",48.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SWE","Sweden","2011","2011",53.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SWE","Sweden","2012","2012",74.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SWE","Sweden","2013","2013",70.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SWE","Sweden","2014","2014",62.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SWE","Sweden","2015","2015",64,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SWE","Sweden","2016","2016",48.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","SWE","Sweden","2017","2017",54.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CHE","Switzerland","2011","2011",36.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CHE","Switzerland","2012","2012",34.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CHE","Switzerland","2013","2013",38.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CHE","Switzerland","2014","2014",40.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CHE","Switzerland","2015","2015",38.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CHE","Switzerland","2016","2016",33,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","CHE","Switzerland","2017","2017",28.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","TUR","Turkey","2012","2012",90.2,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","TUR","Turkey","2013","2013",96.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","TUR","Turkey","2016","2016",96.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","TUR","Turkey","2017","2017",95.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GBR","United Kingdom of Great Britain and Northern Ireland","2011","2011",79.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GBR","United Kingdom of Great Britain and Northern Ireland","2012","2012",76.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GBR","United Kingdom of Great Britain and Northern Ireland","2013","2013",81.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GBR","United Kingdom of Great Britain and Northern Ireland","2014","2014",74.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GBR","United Kingdom of Great Britain and Northern Ireland","2015","2015",71.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GBR","United Kingdom of Great Britain and Northern Ireland","2016","2016",77.9,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","GBR","United Kingdom of Great Britain and Northern Ireland","2017","2017",74.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ARM","Armenia","2011","2011",100,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ARM","Armenia","2012","2012",45.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ARM","Armenia","2013","2013",35.7,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ARM","Armenia","2014","2014",94.4,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ARM","Armenia","2015","2015",86.5,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ARM","Armenia","2016","2016",56.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","ARM","Armenia","2017","2017",53.6,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AZE","Azerbaijan","2011","2011",100,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AZE","Azerbaijan","2012","2012",100,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AZE","Azerbaijan","2013","2013",100,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AZE","Azerbaijan","2014","2014",100,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AZE","Azerbaijan","2015","2015",100,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AZE","Azerbaijan","2016","2016",98.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","AZE","Azerbaijan","2017","2017",98.1,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BLR","Belarus","2011","2011",100,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BOL","Bolivia (Plurinational State of)","2014","2014",100,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BOL","Bolivia (Plurinational State of)","2015","2015",83.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BOL","Bolivia (Plurinational State of)","2016","2016",75,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BOL","Bolivia (Plurinational State of)","2017","2017",83.3,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BIH","Bosnia and Herzegovina","2012","2012",100,"‡","UIS Estimation"
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BIH","Bosnia and Herzegovina","2013","2013",90.9,"‡","UIS Estimation"
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BIH","Bosnia and Herzegovina","2014","2014",45.8,,
"FPFPROD_NAFIC","Percentage of feature films produced that are fictional ","BIH","Bosnia and Herzegovina","2015","2015",14.3,,
