"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FBORADM","Average ticket price (in local currency)","AUT","Austria","2013","2013",8.2,,
"FBORADM","Average ticket price (in local currency)","AUT","Austria","2014","2014",8.4,,
"FBORADM","Average ticket price (in local currency)","AUT","Austria","2015","2015",8.6,,
"FBORADM","Average ticket price (in local currency)","AUT","Austria","2016","2016",8.8,,
"FBORADM","Average ticket price (in local currency)","AUT","Austria","2017","2017",9,,
"FBORADM","Average ticket price (in local currency)","BEL","Belgium","2013","2013",7,,
"FBORADM","Average ticket price (in local currency)","BEL","Belgium","2014","2014",7,,
"FBORADM","Average ticket price (in local currency)","BEL","Belgium","2015","2015",7,,
"FBORADM","Average ticket price (in local currency)","BEL","Belgium","2016","2016",7.6,,
"FBORADM","Average ticket price (in local currency)","BEL","Belgium","2017","2017",8.2,,
"FBORADM","Average ticket price (in local currency)","DNK","Denmark","2013","2013",63.7,,
"FBORADM","Average ticket price (in local currency)","DNK","Denmark","2014","2014",66.7,,
"FBORADM","Average ticket price (in local currency)","DNK","Denmark","2015","2015",68.2,,
"FBORADM","Average ticket price (in local currency)","DNK","Denmark","2016","2016",68.9,,
"FBORADM","Average ticket price (in local currency)","DNK","Denmark","2017","2017",71.6,,
"FBORADM","Average ticket price (in local currency)","FIN","Finland","2013","2013",9.6,,
"FBORADM","Average ticket price (in local currency)","FIN","Finland","2014","2014",9.8,,
"FBORADM","Average ticket price (in local currency)","FIN","Finland","2015","2015",10.3,,
"FBORADM","Average ticket price (in local currency)","FIN","Finland","2016","2016",11.4,"‡","UIS Estimation"
"FBORADM","Average ticket price (in local currency)","FIN","Finland","2017","2017",11.2,,
"FBORADM","Average ticket price (in local currency)","FRA","France","2013","2013",6.5,,
"FBORADM","Average ticket price (in local currency)","FRA","France","2014","2014",6.4,,
"FBORADM","Average ticket price (in local currency)","FRA","France","2015","2015",6.5,,
"FBORADM","Average ticket price (in local currency)","FRA","France","2016","2016",6.5,,
"FBORADM","Average ticket price (in local currency)","FRA","France","2017","2017",6.6,,
"FBORADM","Average ticket price (in local currency)","DEU","Germany","2013","2013",8.1,,
"FBORADM","Average ticket price (in local currency)","ITA","Italy","2013","2013",6.3,,
"FBORADM","Average ticket price (in local currency)","ITA","Italy","2014","2014",6.3,,
"FBORADM","Average ticket price (in local currency)","ITA","Italy","2015","2015",6.4,,
"FBORADM","Average ticket price (in local currency)","ITA","Italy","2016","2016",6.3,,
"FBORADM","Average ticket price (in local currency)","ITA","Italy","2017","2017",6.3,,
"FBORADM","Average ticket price (in local currency)","NLD","Netherlands","2013","2013",8.1,,
"FBORADM","Average ticket price (in local currency)","NLD","Netherlands","2014","2014",8.1,,
"FBORADM","Average ticket price (in local currency)","NLD","Netherlands","2015","2015",8.4,,
"FBORADM","Average ticket price (in local currency)","NLD","Netherlands","2016","2016",8.4,,
"FBORADM","Average ticket price (in local currency)","NLD","Netherlands","2017","2017",8.4,,
"FBORADM","Average ticket price (in local currency)","ESP","Spain","2013","2013",6.4,,
"FBORADM","Average ticket price (in local currency)","ESP","Spain","2014","2014",5.9,,
"FBORADM","Average ticket price (in local currency)","ESP","Spain","2015","2015",6,,
"FBORADM","Average ticket price (in local currency)","ESP","Spain","2016","2016",5.9,"‡","UIS Estimation"
"FBORADM","Average ticket price (in local currency)","ESP","Spain","2017","2017",5.9,"‡","UIS Estimation"
"FBORADM","Average ticket price (in local currency)","SWE","Sweden","2013","2013",99.1,,
"FBORADM","Average ticket price (in local currency)","SWE","Sweden","2014","2014",102,,
"FBORADM","Average ticket price (in local currency)","SWE","Sweden","2015","2015",107.3,,
"FBORADM","Average ticket price (in local currency)","SWE","Sweden","2016","2016",108.4,,
